Question,A,B,C,D,E,index,Answer,explaination
 The bile duct neoplasm cholangiocarcinoma is an impor - tant complication of which of the following disease?,A. Autoimmune hepatitis,B. Primary sclerosing cholangitis (PSC),C. Chronic hepatitis C,D. Chronic hepatitis B,E. Primary biliary cirrhosis (PBC),350.0,B. Primary sclerosing cholangitis (PSC),Cholangiocarcinoma is a known complication of long standing primary sclerosing cholangitis. PSC is associ - ated with chronic biliary tract inflammations. PSC in combination with k-ras and c-myc activation plays a key role in the pathogenesis of this cancer.
 A 3-year-old boy presents with a liver mass. Alpha- fetoprotein (AFP) is elevated in the serum. This tumor is associated with Beckwith–Wiedemann syndrome. What is the diagnosis?,A. Hepatocellular carcinoma,B. Hepatoblastoma,C. Primary hepatic carcinoma,D. Fibrolamellar carcinoma,E. Hepatic adenoma,351.0,B. Hepatoblastoma,"The most common malignant liver tumor in children is hepatoblastoma. 90% of these tumors occur before the age of 5 years. Incidence in boys is twice that in girls. The associations with Beckwith–Wiedemann syndrome, down syndrome, and familial adenomatous polyposis (FAP) have been demonstrated. Serum AFP is nearly always elevated. Histology shows trabeculae 2–3 cells thick with low nuclear-to-cytoplasmic ratio, small nucle - oli, and minimal pleomorphism. The cytoplasm is finely granular and eosinophilic or clear, reflecting variable amounts of glycogen and lipids. This imparts a characteristic light and dark pattern at low magnifica - tion. The two subtypes of differentiation are commonly seen; epithelial and mixed epithelial/mesenchymal type. It is usually fatal if not surgically resected."
 Which serological markers are positive in people who have been vaccinated for Hepatitis B?,A. HBsAg,B. Anti HBs,C. HBcAG,D. Anti HBc,E. Anti-HBe12 Liver and Biliary Tract 97,352.0,B. Anti-HBs,"Different serological markers are used to identify dif - ferent phases of HBV infection and to determine whether a person is immune to HBV as a result of vaccination. Human B surface antibody (anti-Hbs) is positive in peo - ple who have been successfully vaccinated against 12 Liver and Biliary Tract 103 Hepatitis B. HBsAg appears in serum usually between 1 and 10 weeks after exposure to Hepatitis B virus. HBsAg becomes undetectable after 4–6  months. In Chronic HBV infection, HBsAg is positive for more than 6 months. Hepatitis B core antigen (HBcAg) is found in infected hepatocytes. IgM anti-HBc detection is as an indication of acute HBV infection. IgM anti-HBc can be found in serum up to 2  years after acute infection. Permanent immunity is conferred by anti-HBs."
 Mallory bodies are characteristic of which of the follow - ing condition?,A. Alcoholic hepatitis,B. Autoimmune hepatitis,C. Primary biliary cirrhosis,D. Wilson disease,E. Hemochromatosis,353.0,A. Alcoholic hepatitis,"Mallory bodies are found in alcoholic hepatitis. Mallory body formation varies with the severity of the disease. Histologically, Mallory’s bodies appear as irreg - ular aggregates of purplish red material (as seen with H&E stain), which typically are intracytoplasmic and perinuclear in location. In the centrilobular area, they are characteristic but not pathognomonic of alcoholic hepatitis."
 A 49-year-old woman has multiple nodular lesions rang - ing from a few millimeters to several centimeters in size in the liver on CT imaging. Biopsy of a mass shows mul - tiple areas of fibrotic lesions. The tumor cells are elon - gated and cytoplasms are vacuolated. What is the diagnosis?,A. Leiomyosarcoma,B. Cholangiocarcinoma,C. Angiosarcoma,D. Epithelioid hemangioendothelioma,E. Adenocarcinoma,354.0,D. Epithelioid hemangioendothelioma,"Epithelioid hemangioendothelioma is relatively new disease entity in the liver. The male/female ratio is about 1:2. The mean age is 50 years. The neoplasm shows a myxoid stroma, numerous signet ring type cells, and intracytoplasmic vacuoles. It tends to occlude portal and hepatic vein branches. These tumors can be confused with steatohepatitis or adenocarcinomas. These are posi - tive for D2–40, CD31, and CD34. Sometimes this tumor is mistaken for cholangiocarcinoma or mistaken adeno - carcinoma because vacuolated tumor cells look like mucin-producing cancer cells and there is dense fibrosis."
 Which of the following syndrome presents with jaundice of > 20 mg/dL plasma bilirubin and kernicterus?,A. Budd–Chiari syndrome,B. Gilbert syndrome,C. Crigler–Najjar Type 1 syndrome,D. Crigler–Najjar Type 2 syndrome,E. Physiological neonatal jaundice,355.0,C. Crigler–Najjar type 1 syndrome,"Crigler–Najjar syndrome is subdivided into two enti - ties: type 1 is extremely rare and is characterized by severe with severe neurologic impairment. Type II patients have lower plasma bilirubin concentrations with no neurologic damage. The primary metabolic defect in Crigler–Najjar type 1 syndrome involves the  conjugation of bilirubin. Bilirubin-UGT activity in liver biopsy spec - imen reveals complete absence of bilirubin glucuronide formation. Plasma bilirubin levels generally exceed 20  mg/dL, with all the pigment in the unconjugated form."
Which of the following is the most common islet cell tumor of the pancreas?,A. Gastrinoma,B. Alpha cell tumor,C. Beta cell tumor,D. Vipoma,E. Somatostatinoma,356.0,C. Beta cell tumor,"Beta cell tumors are the most common islet tumors of the pancreas. When functioning, they are also referred as insulinoma because they secrete insulin. Common clini - cal manifestation is fasting hypoglycemia. Insulinomas are usually benign and solitary. High serum insulin con - centrations are present during an episode of hypoglycemia. Light microscopy shows the presence of amyloid in fibrovascular stroma adjacent to tumor cells."
Which of the following is NOT a feature of type 1 diabe - tes mellitus?,A. Decrease in the number and size of islets,B. Mild acinar atrophy,C. Pheochromocytoma,D. Amyloid deposits in islets,E. Insulitis,357.0,D. Amyloid deposition in islets,"Type 1 diabetes mellitus (T1DM) is caused by the destruction of beta cells of the pancreas, resulting in insulin deficiency. Common signs and symptoms are polyuria, polydipsia, weight loss, and lethargy. Diabetic ketoacidosis may be the first presentation of T1DM. Amyloid deposition is usually seen in type 2 dia - betes mellitus and not seen in type 1."
A middle-aged man presents to the emergency depart - ment with stabbing epigastric abdominal pain radiating to the back. Laboratory findings show elevation of serum amylase and lipase. What is the diagnosis?,A. Acute cholecystitis,B. Perforated peptic ulcer,C. Acute pancreatitis,D. Occlusion of mesenteric vessels with bowel infarction,E. Acute peritonitis,358.0,C. Acute pancreatitis,"Patients of acute pancreatitis usually present with an acute onset of severe epigastric pain, often radiating to back, fever, nausea, and vomiting. There is an abdominal tenderness to palpation. Laboratory findings show eleva - tion in serum amylase or lipase three times or greater than the upper normal range. Common causes of acute pancreatitis are gall bladder stones and alcohol abuse. Pancreatitis due to alcohol abuse is indistinguishable from pancreatitis due to other causes."
Migratory thrombophlebitis is associated with which one of the following diseases?,A. Diabetes mellitus,B. Cholangitis,C. Acute pancreatitis,D. Chronic relapsing pancreatitis,E. Pancreatic carcinoma,359.0,E. Pancreatic carcinoma,"Migratory thrombophlebitis (i.e., Trousseau sign) may be the first presentation of pancreatic cancer. Majority of pancreatic cancers arise from the exocrine component of the pancreas."
"A 55-year-old male presents with abdominal pain. He does not consume alcohol. There is a family history of pancreatic cancer. Endoscopic retrograde cholangiopan - creatography (ERCP) shows normal appearing pancre - atic duct. Biopsy shows papillary formation with tall columnar mucinous cells with mild, focal nuclear abnor - malities including nuclear crowding, hyperchromatism, and pseudostratification. What is the diagnosis?",A. Pancreatic adenocarcinoma,B. Squamous metaplasia of the pancreas,C. Pancreatic intraepithelial neoplasia (PanIN),D. Intraductal papillary mucinous neoplasm,E. Chronic pancreatitis,360.0,C. Pancreatic intraepithelial neoplasia (PanIN),"The patient has an incidental pancreatic mass identi - fied on imaging. PanIN lesions generally involve the smaller pancreatic ducts, and represent the progression through a series of grades to the development of invasive pancreatic adenocarcinoma. They are classified as PanIN IA, IB, II, and III.  Multiple genetic abnormalities are associated with increasing PanIN grades, including acti - vation of K-ras oncogene, positive MUC1 expression, inactivation of tumor suppressor genes p16 and p53."
Which of the following disease is associated with HLA DR 3 & 4?,A. Type 1-Juvenile onset diabetes mellitus,B. Type 2-adult onset diabetes mellitus,C. Diabetes insipidus,D. Syndrome of inappropriate antidiuretic hormone,E. Zollinger–Ellison syndrome,361.0,A. Type I—Juvenile onset diabetes mellitus,The HLA complex on chromosome 6 is the strongest genetic risk and accounts for approximately 40–50% of type 1 diabetes. The genetic determinants are polymor - phisms of class II HLA genes which encode DQ and DR. The DR-DQ haplotypes conferring the highest risk are DR3 and DR4.
"Hyperglycemia, anion gap metabolic acidosis, increased blood ketone levels, leukocytosis are seen in which of the following disease?",A. Diabetes insipidus,B. Syndrome of inappropriate antidiuretic hormone,C. Acute pancreatitis,D. Lactic acidosis,E. Diabetic ketoacidosis,362.0,E. Diabetic ketoacidosis,"Diabetic ketoacidosis (DKA) is a condition that affects patients with type1 diabetes mellitus due to abso - lute insulin deficiency. Laboratory findings show hyper - glycemia (blood glucose >200 mg/dL), increased blood ketones, anion gap metabolic acidosis. Venous pH is usually <7.3 with serum bicarbonate <15  mEq/L, and the presence of ketonuria. Diabetic ketoacidosis (DKA) is one the commonest causes of hospitalization leading to mortality, and morbidity in patients with type 1 diabe - tes mellitus."
